transaction_amount,merchant_category,customer_region,transaction_type,card_present,hour_of_day,device_type,previous_fraud_flag,transaction_datetime,day_of_week,is_weekend,device_id,is_fraud
2510.14,Online Store,Gauteng,Online,1,12,Windows,0,2023-01-01 03:37:00,Sunday,1,WIN_90591,0
1980.92,Fuel,Mpumalanga,Online,1,9,Windows,0,2023-01-01 18:46:00,Sunday,1,WIN_28615,0
3808.02,Fuel,KwaZulu-Natal,POS,0,8,Android,0,2023-01-01 16:41:00,Sunday,1,AND_47886,0
1003.65,Fuel,KwaZulu-Natal,EFT,1,16,Android,0,2023-01-02 13:28:00,Monday,0,AND_32838,0
5619.33,Clothing,Western Cape,EFT,1,0,Android,0,2023-01-01 02:32:00,Sunday,1,AND_50728,0
540.36,Clothing,Western Cape,ATM Withdrawal,1,3,iPhone,0,2023-01-02 11:56:00,Monday,0,IPH_88000,0
6908.47,Groceries,Gauteng,ATM Withdrawal,0,3,iPhone,0,2023-01-02 03:43:00,Monday,0,IPH_62798,0
5410.27,Fuel,Mpumalanga,Online,0,17,Unknown,0,2023-01-02 16:53:00,Monday,0,UNK_82776,0
1407.04,Restaurants,KwaZulu-Natal,POS,0,8,Android,0,2023-01-03 02:13:00,Tuesday,0,AND_80478,0
58.54,Online Store,Gauteng,Online,1,17,Windows,0,2023-01-02 22:05:00,Monday,0,WIN_29622,0
5711.92,Electronics,Eastern Cape,ATM Withdrawal,1,13,Windows,0,2023-01-03 23:53:00,Tuesday,0,WIN_23536,0
4953.86,Restaurants,Gauteng,POS,0,14,Unknown,0,2023-01-01 11:17:00,Sunday,1,UNK_77136,0
5108.47,Clothing,Limpopo,POS,1,5,Windows,0,2023-01-02 08:56:00,Monday,0,WIN_15700,0
5403.47,Clothing,Gauteng,ATM Withdrawal,1,23,Unknown,0,2023-01-02 09:00:00,Monday,0,UNK_48839,0
536.83,Restaurants,Limpopo,EFT,1,9,Android,0,2023-01-02 08:51:00,Monday,0,AND_20248,0
2522.09,Clothing,Limpopo,EFT,1,14,Windows,1,2023-01-03 04:12:00,Tuesday,0,WIN_55291,0
828.77,Fuel,Limpopo,POS,0,3,Android,0,2023-01-02 15:22:00,Monday,0,AND_92629,0
6044.46,Groceries,Eastern Cape,Online,1,17,iPhone,0,2023-01-02 18:02:00,Monday,0,IPH_94891,0
4370.62,Online Store,Gauteng,EFT,1,17,Windows,1,2023-01-02 11:47:00,Monday,0,WIN_27177,1
2329.67,Groceries,Gauteng,Online,1,16,iPhone,0,2023-01-04 09:19:00,Wednesday,0,IPH_29483,0
463.64,Online Store,Eastern Cape,EFT,1,11,Windows,0,2023-01-04 05:05:00,Wednesday,0,WIN_53815,0
2190.66,Online Store,KwaZulu-Natal,EFT,0,6,Android,0,2023-01-02 02:49:00,Monday,0,AND_48533,0
2289.78,Groceries,Western Cape,Online,1,15,Unknown,0,2023-01-01 10:44:00,Sunday,1,UNK_10026,0
5112.65,Restaurants,Gauteng,ATM Withdrawal,0,10,Android,0,2023-01-04 00:26:00,Wednesday,0,AND_70611,0
4470.15,Online Store,Western Cape,EFT,1,13,Android,0,2023-01-04 14:45:00,Wednesday,0,AND_97242,0
6212.74,Groceries,Mpumalanga,EFT,1,2,Android,0,2023-01-02 02:47:00,Monday,0,AND_34660,0
3316.06,Online Store,Mpumalanga,Online,0,18,Windows,0,2023-01-02 08:47:00,Monday,0,WIN_65103,0
854.77,Electronics,Eastern Cape,ATM Withdrawal,1,17,Unknown,0,2023-01-04 12:50:00,Wednesday,0,UNK_62253,0
4998.45,Restaurants,Mpumalanga,EFT,0,9,iPhone,0,2023-01-03 17:09:00,Tuesday,0,IPH_52082,0
5330.28,Fuel,Mpumalanga,EFT,1,5,Android,0,2023-01-02 04:16:00,Monday,0,AND_26258,0
3937.71,Online Store,KwaZulu-Natal,ATM Withdrawal,1,12,Windows,0,2023-01-03 06:41:00,Tuesday,0,WIN_99690,0
5401.35,Electronics,KwaZulu-Natal,EFT,1,9,iPhone,0,2023-01-04 16:50:00,Wednesday,0,IPH_25389,0
3466.69,Fuel,KwaZulu-Natal,ATM Withdrawal,1,17,Android,0,2023-01-04 05:25:00,Wednesday,0,AND_37685,0
3668.68,Fuel,Mpumalanga,ATM Withdrawal,1,19,iPhone,0,2023-01-03 23:37:00,Tuesday,0,IPH_69220,0
3004.24,Online Store,Eastern Cape,Online,1,15,Android,0,2023-01-03 23:54:00,Tuesday,0,AND_37195,0
197.43,Groceries,Limpopo,POS,1,5,iPhone,0,2023-01-01 18:47:00,Sunday,1,IPH_31797,0
773.08,Online Store,Limpopo,ATM Withdrawal,1,12,iPhone,0,2023-01-04 09:55:00,Wednesday,0,IPH_81310,0
239.38,Electronics,Western Cape,Online,0,3,Unknown,0,2023-01-02 04:49:00,Monday,0,UNK_76332,0
4462.14,Fuel,Limpopo,POS,1,22,Unknown,0,2023-01-04 22:05:00,Wednesday,0,UNK_72907,0
2214.2,Online Store,Limpopo,EFT,0,13,Android,0,2023-01-02 14:16:00,Monday,0,AND_17188,0
3569.82,Groceries,KwaZulu-Natal,POS,1,0,Windows,0,2023-01-04 16:35:00,Wednesday,0,WIN_33696,0
6354.81,Online Store,KwaZulu-Natal,ATM Withdrawal,0,19,Unknown,1,2023-01-02 04:57:00,Monday,0,UNK_12024,0
1760.06,Restaurants,Mpumalanga,ATM Withdrawal,0,4,iPhone,0,2023-01-03 06:52:00,Tuesday,0,IPH_83202,0
2884.47,Groceries,Western Cape,ATM Withdrawal,1,7,Unknown,0,2023-01-01 12:54:00,Sunday,1,UNK_45985,0
5293.75,Electronics,Gauteng,ATM Withdrawal,1,11,Unknown,0,2023-01-03 23:14:00,Tuesday,0,UNK_16584,0
1617.01,Fuel,Western Cape,ATM Withdrawal,1,1,Android,0,2023-01-04 18:35:00,Wednesday,0,AND_37044,0
557.32,Online Store,Western Cape,Online,0,11,Unknown,0,2023-01-04 06:49:00,Wednesday,0,UNK_15285,0
2042.47,Groceries,Eastern Cape,ATM Withdrawal,1,4,Unknown,1,2023-01-03 10:25:00,Tuesday,0,UNK_73115,0
1145.32,Restaurants,Mpumalanga,Online,1,21,iPhone,0,2023-01-01 06:46:00,Sunday,1,IPH_17370,0
6509.29,Groceries,Eastern Cape,EFT,1,4,Unknown,0,2023-01-05 08:40:00,Thursday,0,UNK_27903,0
5660.68,Clothing,Western Cape,ATM Withdrawal,0,12,iPhone,0,2023-01-04 08:16:00,Wednesday,0,IPH_42499,1
4441.16,Restaurants,Western Cape,ATM Withdrawal,1,8,Unknown,0,2023-01-04 13:30:00,Wednesday,0,UNK_32995,0
6102.79,Electronics,Western Cape,POS,0,9,Unknown,0,2023-01-04 19:46:00,Wednesday,0,UNK_45200,0
5629.63,Fuel,Limpopo,EFT,1,0,Windows,0,2023-01-04 15:13:00,Wednesday,0,WIN_98377,0
1322.26,Electronics,Eastern Cape,ATM Withdrawal,1,2,Unknown,0,2023-01-03 04:42:00,Tuesday,0,UNK_80402,0
6250.06,Online Store,Western Cape,ATM Withdrawal,1,17,iPhone,0,2023-01-04 15:05:00,Wednesday,0,IPH_23566,0
3784.61,Groceries,KwaZulu-Natal,EFT,1,11,iPhone,0,2023-01-04 03:07:00,Wednesday,0,IPH_47822,0
5655.93,Clothing,Mpumalanga,Online,1,2,Android,0,2023-01-05 06:46:00,Thursday,0,AND_61222,0
6274.72,Restaurants,Mpumalanga,ATM Withdrawal,1,8,Android,0,2023-01-05 01:29:00,Thursday,0,AND_60668,0
2239.66,Restaurants,KwaZulu-Natal,POS,1,1,Windows,0,2023-01-01 06:59:00,Sunday,1,WIN_73853,0
788.16,Groceries,Mpumalanga,ATM Withdrawal,1,2,iPhone,0,2023-01-02 23:52:00,Monday,0,IPH_64643,0
1610.99,Clothing,Limpopo,POS,1,13,iPhone,1,2023-01-01 06:17:00,Sunday,1,IPH_32333,0
3001.21,Groceries,Limpopo,POS,1,3,iPhone,0,2023-01-01 14:37:00,Sunday,1,IPH_25958,0
5729.74,Online Store,Gauteng,ATM Withdrawal,1,18,Windows,0,2023-01-04 04:36:00,Wednesday,0,WIN_62442,0
6027.9,Electronics,Gauteng,ATM Withdrawal,1,12,iPhone,1,2023-01-05 15:14:00,Thursday,0,IPH_30954,0
68.53,Restaurants,Gauteng,POS,1,6,Android,0,2023-01-01 17:12:00,Sunday,1,AND_85174,0
3585.02,Online Store,Mpumalanga,EFT,1,11,Windows,0,2023-01-03 11:22:00,Tuesday,0,WIN_19675,0
2933.53,Electronics,Limpopo,EFT,0,2,Android,0,2023-01-05 22:36:00,Thursday,0,AND_99590,0
1570.31,Online Store,Limpopo,ATM Withdrawal,1,22,Android,0,2023-01-05 11:04:00,Thursday,0,AND_41661,0
856.66,Clothing,Limpopo,Online,1,22,Windows,0,2023-01-03 21:39:00,Tuesday,0,WIN_74289,0
2376.55,Restaurants,KwaZulu-Natal,EFT,0,8,Unknown,0,2023-01-05 07:07:00,Thursday,0,UNK_27184,0
6601.51,Groceries,Limpopo,ATM Withdrawal,0,1,Unknown,0,2023-01-03 23:06:00,Tuesday,0,UNK_57963,0
2275.96,Groceries,KwaZulu-Natal,EFT,1,21,Android,0,2023-01-01 23:14:00,Sunday,1,AND_35822,0
3641.16,Electronics,Gauteng,Online,1,8,Unknown,0,2023-01-01 18:56:00,Sunday,1,UNK_72303,0
4927.07,Fuel,Gauteng,ATM Withdrawal,1,11,iPhone,0,2023-01-02 03:39:00,Monday,0,IPH_86465,0
2558.13,Clothing,Mpumalanga,Online,0,11,Windows,0,2023-01-03 01:55:00,Tuesday,0,WIN_15267,0
6803.04,Electronics,Gauteng,ATM Withdrawal,1,14,Android,0,2023-01-06 09:30:00,Friday,0,AND_62647,0
6737.88,Fuel,Mpumalanga,Online,0,1,iPhone,0,2023-01-05 16:25:00,Thursday,0,IPH_72814,0
1777.44,Online Store,Western Cape,EFT,1,17,Unknown,0,2023-01-03 14:21:00,Tuesday,0,UNK_46025,0
3490.79,Clothing,Western Cape,EFT,0,12,iPhone,0,2023-01-03 23:12:00,Tuesday,0,IPH_87605,0
2120.13,Online Store,Eastern Cape,Online,0,13,Unknown,0,2023-01-02 15:43:00,Monday,0,UNK_10981,0
2008.19,Restaurants,Mpumalanga,Online,0,4,Android,0,2023-01-05 06:08:00,Thursday,0,AND_53436,1
277.47,Clothing,Eastern Cape,Online,1,9,iPhone,0,2023-01-05 20:52:00,Thursday,0,IPH_28472,0
4274.76,Fuel,Eastern Cape,ATM Withdrawal,0,11,Windows,0,2023-01-02 12:43:00,Monday,0,WIN_29336,0
3528.7,Restaurants,Western Cape,EFT,1,9,Android,0,2023-01-01 08:29:00,Sunday,1,AND_35587,0
379.32,Groceries,Mpumalanga,ATM Withdrawal,1,23,iPhone,0,2023-01-04 21:15:00,Wednesday,0,IPH_87192,0
1964.95,Fuel,Western Cape,EFT,1,10,iPhone,0,2023-01-04 12:54:00,Wednesday,0,IPH_94046,0
6359.7,Electronics,Eastern Cape,POS,1,1,Unknown,0,2023-01-03 13:48:00,Tuesday,0,UNK_63013,0
1692.14,Groceries,Mpumalanga,ATM Withdrawal,1,4,Android,1,2023-01-05 02:07:00,Thursday,0,AND_94511,0
1031.37,Groceries,Eastern Cape,EFT,0,6,Android,1,2023-01-04 12:49:00,Wednesday,0,AND_19665,0
3436.38,Electronics,Limpopo,EFT,1,5,Android,0,2023-01-02 16:14:00,Monday,0,AND_37097,0
6899.84,Clothing,Mpumalanga,ATM Withdrawal,0,21,Android,0,2023-01-03 14:47:00,Tuesday,0,AND_62474,0
1709.55,Groceries,Mpumalanga,ATM Withdrawal,0,22,Unknown,0,2023-01-03 19:50:00,Tuesday,0,UNK_81973,0
4711.51,Fuel,Eastern Cape,EFT,1,2,Windows,0,2023-01-06 17:37:00,Friday,0,WIN_35185,0
5336.1,Restaurants,Limpopo,ATM Withdrawal,1,12,Android,0,2023-01-07 06:57:00,Saturday,1,AND_85911,0
1678.71,Groceries,KwaZulu-Natal,Online,1,2,Unknown,0,2023-01-06 21:22:00,Friday,0,UNK_40484,0
5102.95,Fuel,Western Cape,ATM Withdrawal,1,23,Windows,0,2023-01-05 19:05:00,Thursday,0,WIN_55610,0
2587.13,Online Store,Eastern Cape,ATM Withdrawal,1,20,Windows,0,2023-01-04 22:42:00,Wednesday,0,WIN_60807,0
4433.49,Fuel,Mpumalanga,ATM Withdrawal,0,5,Unknown,0,2023-01-05 15:48:00,Thursday,0,UNK_60907,0
4442.04,Restaurants,Western Cape,EFT,0,10,Android,0,2023-01-07 08:18:00,Saturday,1,AND_67389,0
3759.71,Fuel,Western Cape,Online,0,16,Windows,0,2023-01-02 18:47:00,Monday,0,WIN_35835,0
650.22,Electronics,Western Cape,POS,0,9,Android,0,2023-01-04 17:01:00,Wednesday,0,AND_63790,0
5850.41,Restaurants,KwaZulu-Natal,POS,1,11,Android,0,2023-01-05 18:38:00,Thursday,0,AND_86960,0
2259.04,Clothing,Gauteng,Online,1,16,iPhone,0,2023-01-05 17:38:00,Thursday,0,IPH_19643,0
1321.9,Online Store,Eastern Cape,Online,0,3,Android,0,2023-01-02 20:12:00,Monday,0,AND_85846,1
304.61,Electronics,Gauteng,Online,1,1,iPhone,0,2023-01-05 03:43:00,Thursday,0,IPH_28951,0
4144.43,Clothing,Gauteng,EFT,1,10,Windows,1,2023-01-06 15:05:00,Friday,0,WIN_25233,0
4749.4,Fuel,Gauteng,POS,0,6,Unknown,0,2023-01-04 10:15:00,Wednesday,0,UNK_23200,0
135.78,Restaurants,Western Cape,Online,0,1,iPhone,0,2023-01-06 16:14:00,Friday,0,IPH_62275,0
3594.41,Online Store,Limpopo,EFT,0,17,Unknown,0,2023-01-03 15:44:00,Tuesday,0,UNK_97084,0
1600.94,Electronics,Western Cape,POS,0,20,Windows,0,2023-01-07 18:34:00,Saturday,1,WIN_86068,0
4523.31,Clothing,Western Cape,ATM Withdrawal,0,3,Android,1,2023-01-04 22:15:00,Wednesday,0,AND_99001,0
1237.08,Clothing,Mpumalanga,EFT,1,7,Windows,0,2023-01-05 09:28:00,Thursday,0,WIN_31291,0
4842.75,Online Store,Mpumalanga,POS,0,19,Unknown,0,2023-01-01 08:21:00,Sunday,1,UNK_52448,0
2719.41,Fuel,Gauteng,EFT,1,13,Windows,0,2023-01-02 08:35:00,Monday,0,WIN_40580,0
6558.38,Online Store,Western Cape,POS,1,11,Android,0,2023-01-05 17:45:00,Thursday,0,AND_31346,0
979.9,Clothing,Gauteng,POS,1,21,Windows,0,2023-01-04 04:53:00,Wednesday,0,WIN_20619,0
2400.64,Groceries,Mpumalanga,ATM Withdrawal,1,20,Android,0,2023-01-04 20:56:00,Wednesday,0,AND_11766,0
812.05,Electronics,Limpopo,EFT,0,17,iPhone,0,2023-01-01 14:13:00,Sunday,1,IPH_13549,0
6474.36,Online Store,Eastern Cape,Online,1,10,Unknown,0,2023-01-07 08:18:00,Saturday,1,UNK_28693,0
6143.83,Clothing,Gauteng,ATM Withdrawal,1,7,Android,0,2023-01-07 00:13:00,Saturday,1,AND_72019,0
1820.43,Fuel,Limpopo,ATM Withdrawal,0,1,Android,0,2023-01-02 12:36:00,Monday,0,AND_58328,1
4626.69,Clothing,Eastern Cape,POS,0,14,Windows,0,2023-01-05 22:28:00,Thursday,0,WIN_87701,0
5724.21,Fuel,KwaZulu-Natal,Online,1,8,iPhone,0,2023-01-07 08:46:00,Saturday,1,IPH_99100,0
3895.3,Online Store,Gauteng,EFT,1,18,Android,0,2023-01-06 00:57:00,Friday,0,AND_35301,0
3716.96,Fuel,Gauteng,Online,1,19,iPhone,0,2023-01-03 12:30:00,Tuesday,0,IPH_54763,0
1708.13,Restaurants,KwaZulu-Natal,Online,1,7,iPhone,0,2023-01-06 05:05:00,Friday,0,IPH_30765,0
669.86,Restaurants,KwaZulu-Natal,Online,1,18,Windows,0,2023-01-02 18:29:00,Monday,0,WIN_54787,0
6282.57,Restaurants,Gauteng,Online,0,4,Android,0,2023-01-03 14:57:00,Tuesday,0,AND_17425,0
6304.92,Groceries,KwaZulu-Natal,Online,0,10,Windows,0,2023-01-03 00:31:00,Tuesday,0,WIN_22857,1
4439.05,Online Store,Western Cape,POS,0,14,Unknown,0,2023-01-05 12:54:00,Thursday,0,UNK_62771,0
2386.43,Clothing,Eastern Cape,POS,0,7,Unknown,0,2023-01-01 23:52:00,Sunday,1,UNK_32444,0
2457.48,Clothing,Eastern Cape,ATM Withdrawal,1,18,Android,0,2023-01-08 14:12:00,Sunday,1,AND_51457,0
5087.17,Groceries,Eastern Cape,POS,1,22,iPhone,0,2023-01-03 19:32:00,Tuesday,0,IPH_89741,0
6281.83,Fuel,Western Cape,ATM Withdrawal,1,7,Android,0,2023-01-02 21:42:00,Monday,0,AND_10704,0
6211.86,Groceries,KwaZulu-Natal,ATM Withdrawal,0,18,Android,0,2023-01-05 03:58:00,Thursday,0,AND_15452,0
5463.53,Fuel,Limpopo,EFT,1,17,Unknown,0,2023-01-03 09:31:00,Tuesday,0,UNK_48862,0
4501.38,Fuel,KwaZulu-Natal,Online,0,9,Unknown,0,2023-01-05 12:31:00,Thursday,0,UNK_71471,1
607.3,Electronics,Gauteng,POS,0,6,iPhone,0,2023-01-04 00:13:00,Wednesday,0,IPH_79217,0
1148.17,Clothing,Mpumalanga,EFT,0,8,iPhone,0,2023-01-02 05:35:00,Monday,0,IPH_96058,0
6291.91,Restaurants,Eastern Cape,POS,1,0,Android,0,2023-01-03 08:27:00,Tuesday,0,AND_28300,0
4252.87,Fuel,KwaZulu-Natal,ATM Withdrawal,1,18,Windows,0,2023-01-04 19:21:00,Wednesday,0,WIN_19566,0
84.2,Electronics,Limpopo,POS,1,4,Android,0,2023-01-01 09:31:00,Sunday,1,AND_17501,0
728.27,Clothing,Gauteng,Online,1,18,iPhone,1,2023-01-07 15:32:00,Saturday,1,IPH_11845,0
4651.24,Restaurants,Western Cape,ATM Withdrawal,1,0,Windows,1,2023-01-06 10:01:00,Friday,0,WIN_49181,0
55.33,Fuel,Western Cape,ATM Withdrawal,0,14,Unknown,0,2023-01-06 06:27:00,Friday,0,UNK_67263,0
1142.44,Fuel,Limpopo,EFT,0,15,iPhone,1,2023-01-05 19:42:00,Thursday,0,IPH_88766,0
3850.16,Groceries,Gauteng,Online,0,22,iPhone,0,2023-01-06 05:23:00,Friday,0,IPH_73038,0
4849.43,Groceries,Eastern Cape,ATM Withdrawal,1,6,Windows,0,2023-01-09 05:26:00,Monday,0,WIN_93290,0
4570.69,Clothing,KwaZulu-Natal,Online,1,11,iPhone,0,2023-01-01 05:19:00,Sunday,1,IPH_44404,0
1585.4,Restaurants,Gauteng,POS,0,7,iPhone,1,2023-01-01 13:33:00,Sunday,1,IPH_32564,0
4991.01,Fuel,Western Cape,Online,1,4,iPhone,0,2023-01-02 19:51:00,Monday,0,IPH_67435,1
1676.0,Clothing,Limpopo,ATM Withdrawal,1,9,iPhone,0,2023-01-02 14:57:00,Monday,0,IPH_28227,0
2291.29,Clothing,Limpopo,EFT,0,20,iPhone,0,2023-01-02 18:05:00,Monday,0,IPH_57475,0
5230.51,Online Store,KwaZulu-Natal,ATM Withdrawal,1,4,iPhone,0,2023-01-07 02:59:00,Saturday,1,IPH_27215,0
4554.44,Groceries,Limpopo,Online,1,16,iPhone,0,2023-01-05 06:07:00,Thursday,0,IPH_81074,0
5947.58,Restaurants,Limpopo,Online,1,4,iPhone,0,2023-01-10 01:13:00,Tuesday,0,IPH_31699,0
4610.14,Fuel,Gauteng,ATM Withdrawal,0,21,Unknown,0,2023-01-03 04:44:00,Tuesday,0,UNK_22454,0
3986.79,Clothing,Eastern Cape,Online,1,14,iPhone,0,2023-01-03 23:13:00,Tuesday,0,IPH_58217,0
673.85,Fuel,KwaZulu-Natal,POS,0,12,Unknown,0,2023-01-10 02:33:00,Tuesday,0,UNK_31711,0
